item,base_price,reference_currency,float_qty,n_listings,ask_min,ask_median,ask_max,pred_mean,pred_std,pred_cv,pred_min,pred_max,factor_mean,factor_std,factor_cv
AK-47 | Head Shot (Well-Worn),34.05,,267,74,33.99,40.48,149.0,33.9897,0.8288,0.0244,33.44,39.07,0.9982,0.0243,0.0244
Desert Eagle | Mecha Industries (Factory New),17.25,,1107,189,16.9,26.94,499.0,19.3763,3.8087,0.1966,17.34,32.6,1.1233,0.2208,0.1966
Glock-18 | Block-18 (Factory New),3.09,,1240,228,3.05,7.985,2000.22,3.8655,0.9815,0.2539,3.04,9.17,1.251,0.3176,0.2539
MP9 | Arctic Tri-Tone (Field-Tested),4.67,,963,400,4.59,7.1,46.9,4.8813,0.3604,0.0738,4.57,5.78,1.0453,0.0772,0.0738
Glock-18 | Vogue (Minimal Wear),6.24,,672,265,6.11,7.48,230.8,6.7715,1.2024,0.1776,6.29,19.5,1.0852,0.1927,0.1776
USP-S | Cyrex (Field-Tested),3.9,,1114,384,3.9,6.07,66.67,3.9882,0.2674,0.0671,3.87,8.7,1.0226,0.0686,0.0671
AK-47 | Point Disarray (Field-Tested),14.52,,1362,325,14.56,20.29,500.0,14.7068,0.6167,0.0419,14.33,20.03,1.0129,0.0425,0.0419
M4A1-S | Decimator (Field-Tested),13.98,,1632,400,13.73,18.0,355.95,14.3104,0.679,0.0474,13.72,17.87,1.0236,0.0486,0.0474
Sawed-Off | Kiss♥Love (Battle-Scarred),3.43,,211,50,3.27,3.995,31.02,3.4516,0.4939,0.1431,3.27,5.32,1.0063,0.144,0.1431
USP-S | Black Lotus (Minimal Wear),3.06,,737,223,3.15,6.43,400.0,3.3096,0.2774,0.0838,3.15,7.0,1.0816,0.0907,0.0838
FAMAS | Bad Trip (Well-Worn),46.37,,163,47,46.47,52.04,5812.54,46.4302,0.1322,0.0028,46.17,46.77,1.0013,0.0029,0.0028
XM1014 | Incinegator (Field-Tested),5.78,,523,136,5.7,9.75,950.0,7.4893,1.4231,0.19,5.66,9.6,1.2957,0.2462,0.19
M4A1-S | Nightmare (Well-Worn),8.64,,165,59,8.41,10.47,38.0,8.5081,0.0346,0.0041,8.43,8.66,0.9847,0.004,0.0041
Galil AR | Tuxedo (Factory New),3.78,,1127,286,4.0,6.75,1196.73,4.7257,2.0,0.4232,3.97,30.66,1.2502,0.5291,0.4232
P250 | Nevermore (Factory New),4.19,,720,194,4.14,8.684999999999999,9999.99,4.8234,1.0017,0.2077,4.15,7.13,1.1512,0.2391,0.2077
M4A1-S | Flashback (Well-Worn),3.78,,250,81,3.6,6.2,63.51,3.6746,0.0384,0.0105,3.61,3.83,0.9721,0.0102,0.0105
USP-S | The Traitor (Field-Tested),39.29,,839,279,38.21,45.0,154.09,40.9052,2.9641,0.0725,38.97,55.07,1.0411,0.0754,0.0725
SSG 08 | Big Iron (Field-Tested),10.68,,156,70,10.82,13.98,75.0,11.7461,1.0712,0.0912,10.6,15.83,1.0998,0.1003,0.0912
AK-47 | Aquamarine Revenge (Field-Tested),42.64,,789,287,41.19,58.9,999.88,45.065,3.9486,0.0876,42.01,63.81,1.0569,0.0926,0.0876
M4A1-S | Player Two (Battle-Scarred),56.09,,82,16,58.69,63.5,94.97,56.1412,0.7594,0.0135,55.11,58.35,1.0009,0.0135,0.0135
XM1014 | XOXO (Well-Worn),3.66,,136,49,3.53,4.38,55.93,3.5271,0.0208,0.0059,3.48,3.56,0.9637,0.0057,0.0059
M4A4 | Polysoup (Field-Tested),13.74,,386,167,14.59,15.8,200.0,15.1051,1.4501,0.096,13.98,18.97,1.0994,0.1055,0.096
SG 553 | Integrale (Field-Tested),8.53,,743,129,8.71,14.65,233.96,10.3175,2.0197,0.1958,8.6,14.85,1.2096,0.2368,0.1958
MP9 | Hypnotic (Factory New),29.96,,320,139,30.0,40.16,10204.09,31.8321,3.7005,0.1163,29.25,47.04,1.0625,0.1235,0.1163
M4A1-S | Golden Coil (Field-Tested),68.57,,609,191,68.71,84.0,500.0,72.4588,4.4822,0.0619,68.64,93.12,1.0567,0.0654,0.0619
