item,needs_backfill,model_ready,backfill_reason,has_summary,summary_ready,summary_n_listings,has_fit,fit_ready,fit_n_clean,pred_cv,pred_mean,pred_min,pred_max
★ Falchion Knife | Autotronic (Field-Tested),False,True,,True,True,73,True,True,72,0.0219,103.7716,101.61,111.6
AUG | Chameleon (Field-Tested),False,True,,True,True,73,True,True,73,0.0076,79.1333,77.9,81.0
P2000 | Wicked Sick (Well-Worn),False,True,,True,True,73,True,True,73,0.0097,3.3777,3.34,3.47
AK-47 | Head Shot (Well-Worn),False,True,,True,True,74,True,True,71,0.0244,33.9897,33.44,39.07
MP7 | Abyssal Apparition (Battle-Scarred),False,True,,True,True,74,True,True,72,0.1682,7.0815,6.35,10.19
P250 | Asiimov (Battle-Scarred),False,True,,True,True,74,True,True,72,0.4469,13.3001,11.99,61.98
FAMAS | Eye of Athena (Minimal Wear),False,True,,True,True,74,True,True,73,0.1352,12.355,10.38,14.73
Five-SeveN | Forest Night (Factory New),False,True,,True,True,74,True,True,73,0.1362,6.6791,5.55,8.13
MP9 | Urban Sovereign (Factory New),False,True,,True,True,74,True,True,74,0.0022,7.7228,7.72,7.84
P250 | Verdigris (Factory New),False,True,,True,True,74,True,True,74,0.201,5.6839,4.55,7.55
AK-47 | The Empress (Well-Worn),False,True,,True,True,75,True,True,73,0.0103,96.3243,95.32,101.73
AK-47 | Nouveau Rouge (Well-Worn),False,True,,True,True,75,True,True,74,0.0116,11.5411,11.39,12.35
Negev | dev_texture (Factory New),False,True,,True,True,75,True,True,74,0.265,4.7305,3.65,7.03
Tec-9 | Remote Control (Minimal Wear),False,True,,True,True,76,True,True,74,0.1592,6.9326,6.16,14.67
FAMAS | Djinn (Field-Tested),False,True,,True,True,76,True,True,75,0.0731,13.3221,12.65,16.55
StatTrak™ AK-47 | Legion of Anubis (Field-Tested),False,True,,True,True,76,True,True,75,0.0831,34.8438,33.39,57.64
Galil AR | Crimson Tsunami (Factory New),False,True,,True,True,77,True,True,75,0.1915,20.3236,18.09,30.95
StatTrak™ AWP | Phobos (Minimal Wear),False,True,,True,True,78,True,True,76,0.0633,6.1454,5.95,9.01
AUG | Stymphalian (Factory New),False,True,,True,True,78,True,True,77,0.2203,25.5901,20.71,37.8
Galil AR | Chromatic Aberration (Well-Worn),False,True,,True,True,78,True,True,78,0.0041,3.6055,3.58,3.69
P2000 | Wicked Sick (Battle-Scarred),False,True,,True,True,79,True,True,76,0.1593,3.3842,3.06,5.06
StatTrak™ M4A1-S | Leaded Glass (Field-Tested),False,True,,True,True,79,True,True,77,0.0319,13.951,13.66,16.49
Desert Eagle | Firebreathing (Minimal Wear),False,True,,True,True,79,True,True,78,0.0537,2.9991,2.98,4.41
Five-SeveN | Angry Mob (Field-Tested),False,True,,True,True,79,True,True,79,0.0383,60.7385,57.24,69.77
Five-SeveN | Boost Protocol (Minimal Wear),False,True,,True,True,79,True,True,79,0.0941,5.3367,4.91,6.28
P90 | Trigon (Field-Tested),False,True,,True,True,79,True,True,79,0.0516,9.9389,9.63,11.19
★ Paracord Knife | Rust Coat (Battle-Scarred),False,True,,True,True,79,True,True,79,0.1746,51.0452,45.06,78.67
StatTrak™ FAMAS | Rapid Eye Movement (Field-Tested),False,True,,True,True,80,True,True,76,0.1646,6.1727,5.42,11.28
StatTrak™ UMP-45 | K.O. Factory (Field-Tested),False,True,,True,True,80,True,True,78,0.1519,6.9979,5.84,8.72
P250 | Kintsugi (Minimal Wear),False,True,,True,True,80,True,True,80,0.0008,13.6312,13.63,13.73
AK-47 | Frontside Misty (Well-Worn),False,True,,True,True,81,True,True,79,0.0106,16.9252,16.72,18.02
StatTrak™ Desert Eagle | Mecha Industries (Minimal Wear),False,True,,True,True,82,True,True,77,0.0596,16.9918,16.25,20.87
FAMAS | Commemoration (Minimal Wear),False,True,,True,True,82,True,True,81,0.027,38.9657,37.97,43.67
StatTrak™ Glock-18 | Shinobu (Minimal Wear),False,True,,True,True,83,True,True,74,0.2732,21.4267,19.54,64.8
StatTrak™ AK-47 | Head Shot (Field-Tested),False,True,,True,True,83,True,True,79,0.0976,32.8566,29.92,40.99
StatTrak™ USP-S | Flashback (Factory New),False,True,,True,True,83,True,True,80,0.3591,5.0157,3.9,16.84
M4A1-S | Black Lotus (Well-Worn),False,True,,True,True,84,True,True,79,0.0221,6.3106,6.15,6.95
StatTrak™ AWP | Mortis (Minimal Wear),False,True,,True,True,84,True,True,80,0.094,10.6752,10.16,17.67
Glock-18 | Royal Legion (Minimal Wear),False,True,,True,True,84,True,True,83,0.0641,8.4029,7.9,9.82
StatTrak™ Zeus x27 | Tosai (Factory New),False,True,,True,True,84,True,True,83,0.2538,5.4244,3.89,7.36
AWP | Mortis (Battle-Scarred),False,True,,True,True,85,True,True,79,0.093,4.2359,4.01,6.15
M4A1-S | Nightmare (Battle-Scarred),False,True,,True,True,85,True,True,80,0.4215,9.4779,8.35,34.33
★ Huntsman Knife | Autotronic (Field-Tested),False,True,,True,True,85,True,True,85,0.0202,104.3979,102.38,111.43
AK-47 | The Oligarch (Well-Worn),False,True,,True,True,86,True,True,82,0.0327,45.5224,44.22,57.57
Glock-18 | Fully Tuned (Minimal Wear),False,True,,True,True,86,True,True,85,0.0103,111.9902,111.76,118.19
M4A1-S | Flashback (Battle-Scarred),False,True,,True,True,86,True,True,86,0.0978,3.6686,3.47,5.07
MP9 | Arctic Tri-Tone (Battle-Scarred),False,True,,True,True,86,True,True,86,0.0386,4.545,4.39,5.47
Dual Berettas | Hemoglobin (Factory New),False,True,,True,True,87,True,True,86,0.1414,38.0121,34.74,55.76
R8 Revolver | Llama Cannon (Field-Tested),False,True,,True,True,87,True,True,86,0.0844,10.5052,9.71,12.25
AK-47 | Breakthrough (Minimal Wear),False,True,,True,True,87,True,True,87,0.0039,9.0467,9.04,9.28
AUG | Stymphalian (Minimal Wear),False,True,,True,True,87,True,True,87,0.1601,6.3095,5.4,7.72
★ Bowie Knife | Autotronic (Field-Tested),False,True,,True,True,87,True,True,87,0.0197,84.0623,82.2,88.18
★ Falchion Knife | Lore (Field-Tested),False,True,,True,True,87,True,True,87,0.0264,103.7733,100.78,110.79
AUG | Syd Mead (Minimal Wear),False,True,,True,True,88,True,True,88,0.1225,13.7473,11.71,16.6
USP-S | The Traitor (Well-Worn),False,True,,True,True,89,True,True,89,0.0075,36.5046,36.06,37.82
★ Kukri Knife | Slaughter (Minimal Wear),False,True,,True,True,89,True,True,89,0.0121,132.374,130.54,135.66
★ Skeleton Knife | Ultraviolet (Field-Tested),False,True,,True,True,89,True,True,89,0.0368,188.1906,181.92,203.95
MP9 | Slide (Factory New),False,True,,True,True,90,True,True,85,0.2548,3.5438,2.76,10.61
AWP | Ice Coaled (Well-Worn),False,True,,True,True,90,True,True,88,0.0117,6.6168,6.51,6.9
