market_hash_name,listing_id,asset_id,ask,ask_seller_net,float_value,paint_seed,asset_properties_json,converted_price,converted_fee,converted_currencyid,scm_total_listings
USP-S | Jawbreaker (Minimal Wear),545645526247091477,52322653551,9.1,7.92,0.13849882781506,572,,792,118,2003,467
USP-S | Jawbreaker (Minimal Wear),545645526247091549,52323609326,9.1,7.92,0.13974289596081,712,,792,118,2003,467
USP-S | Jawbreaker (Minimal Wear),545645526247091585,52331617917,9.1,7.92,0.14107468724251,87,,792,118,2003,467
USP-S | Jawbreaker (Minimal Wear),545645526236150141,52276138721,9.1,7.92,0.14555215835571,493,,792,118,2003,467
USP-S | Jawbreaker (Minimal Wear),545645526236174477,52300698790,9.1,7.92,0.13448403775692,904,,792,118,2003,467
USP-S | Jawbreaker (Minimal Wear),537764226874726483,51747945490,9.11,7.93,0.12689487636089,512,,793,118,2003,467
USP-S | Jawbreaker (Minimal Wear),537764226874726771,51732219301,9.11,7.93,0.13907384872437,391,,793,118,2003,467
USP-S | Jawbreaker (Minimal Wear),537764226874726879,51732219298,9.11,7.93,0.14312365651131,930,,793,118,2003,467
USP-S | Jawbreaker (Minimal Wear),545645526222496313,52203461376,9.11,7.93,0.14912295341492,579,,793,118,2003,467
USP-S | Jawbreaker (Minimal Wear),545645526222494513,52267503297,9.11,7.93,0.13040931522846,221,,793,118,2003,467
USP-S | Jawbreaker (Minimal Wear),545645526222494801,51606481855,9.11,7.93,0.13221161067486,681,,793,118,2003,467
USP-S | Jawbreaker (Minimal Wear),545645526222494873,51606481882,9.11,7.93,0.1358380317688,875,,793,118,2003,467
USP-S | Jawbreaker (Minimal Wear),545645526222495269,52253471054,9.11,7.93,0.14087353646755,206,,793,118,2003,467
USP-S | Jawbreaker (Minimal Wear),545645526222495341,51606481884,9.11,7.93,0.1409667134285,383,,793,118,2003,467
USP-S | Jawbreaker (Minimal Wear),545645526222495089,52221983809,9.11,7.93,0.13916324079037,495,,793,118,2003,467
USP-S | Jawbreaker (Minimal Wear),545645526222495449,51606481895,9.11,7.93,0.14190654456615,293,,793,118,2003,467
USP-S | Jawbreaker (Minimal Wear),545645526222496025,51606481900,9.11,7.93,0.14533448219299,416,,793,118,2003,467
USP-S | Jawbreaker (Minimal Wear),545645526222496133,51636266042,9.11,7.93,0.14901682734489,133,,793,118,2003,467
USP-S | Jawbreaker (Minimal Wear),545645526222496529,52192264913,9.11,7.93,0.14967803657055,751,,793,118,2003,467
USP-S | Jawbreaker (Minimal Wear),545645526222495701,52248053690,9.11,7.93,0.14248009026051,46,,793,118,2003,467
USP-S | Jawbreaker (Minimal Wear),527631762747574511,51514807092,9.17,7.99,0.1465877443552,115,,799,118,2003,467
USP-S | Jawbreaker (Minimal Wear),506241113358485194,51996271899,9.17,7.99,0.132667273283,942,,799,118,2003,467
USP-S | Jawbreaker (Minimal Wear),545644891825108039,52169175307,9.17,7.99,0.14626803994179,673,,799,118,2003,467
USP-S | Jawbreaker (Minimal Wear),545644891825108363,52159958010,9.17,7.99,0.14849543571472,605,,799,118,2003,467
USP-S | Jawbreaker (Minimal Wear),545644891825108111,52131133585,9.17,7.99,0.14713308215141,449,,799,118,2003,467
USP-S | Jawbreaker (Minimal Wear),520876363335897192,51640949080,9.2,8.0,0.13895902037621,432,,800,120,2003,467
USP-S | Jawbreaker (Minimal Wear),500611613839415965,51843464740,9.2,8.0,0.14719216525555,857,,800,120,2003,467
USP-S | Jawbreaker (Minimal Wear),525379962922054707,51597938642,9.2,8.0,0.12272840738297,38,,800,120,2003,467
USP-S | Jawbreaker (Minimal Wear),522003712057202317,51834983385,9.2,8.0,0.12978065013885,65,,800,120,2003,467
USP-S | Jawbreaker (Minimal Wear),503989765791459416,49850685055,9.2,8.0,0.13167256116867,506,,800,120,2003,467
USP-S | Jawbreaker (Minimal Wear),524253428003197913,50817839096,9.2,8.0,0.12254923582077,370,,800,120,2003,467
USP-S | Jawbreaker (Minimal Wear),532134092912895774,51662832830,9.2,8.0,0.13721677660942,748,,800,120,2003,467
USP-S | Jawbreaker (Minimal Wear),726918035790038806,52719692103,9.22,8.02,0.14546446502209,785,,802,120,2003,467
USP-S | Jawbreaker (Minimal Wear),554653360429632862,52159100177,9.23,8.03,0.14371094107628,73,,803,120,2003,467
USP-S | Jawbreaker (Minimal Wear),659364041376619008,52468866985,9.26,8.06,0.13378079235554,653,,806,120,2003,467
USP-S | Jawbreaker (Minimal Wear),509618813071456267,48706373024,9.27,8.07,0.12444192171097,80,,807,120,2003,467
USP-S | Jawbreaker (Minimal Wear),502857778648466548,44355253671,9.28,8.08,0.14970743656158,173,,808,120,2003,467
USP-S | Jawbreaker (Minimal Wear),492730314464446845,52570364759,9.34,8.13,0.13192164897919,592,,813,121,2003,467
USP-S | Jawbreaker (Minimal Wear),492730314464407641,52574968872,9.34,8.13,0.13119415938854,211,,813,121,2003,467
USP-S | Jawbreaker (Minimal Wear),492730314464396265,52575790766,9.34,8.13,0.1301359385252,722,,813,121,2003,467
USP-S | Jawbreaker (Minimal Wear),492730314465207705,52288397768,9.34,8.13,0.13513749837875,656,,813,121,2003,467
USP-S | Jawbreaker (Minimal Wear),492730314464770557,52516924707,9.34,8.13,0.12915706634521,207,,813,121,2003,467
USP-S | Jawbreaker (Minimal Wear),492730314464890005,52466678008,9.34,8.13,0.13298830389977,888,,813,121,2003,467
USP-S | Jawbreaker (Minimal Wear),492730314464884857,52470604554,9.34,8.13,0.14479507505894,288,,813,121,2003,467
USP-S | Jawbreaker (Minimal Wear),492730314465012729,52407372617,9.34,8.13,0.13553074002266,461,,813,121,2003,467
USP-S | Jawbreaker (Minimal Wear),492730314465033213,52396955686,9.34,8.13,0.1412118524313,231,,813,121,2003,467
USP-S | Jawbreaker (Minimal Wear),493856666629152716,52667860680,9.35,8.14,0.14475040137768,903,,814,121,2003,467
USP-S | Jawbreaker (Minimal Wear),493856666626007324,52704304908,9.47,8.24,0.12680143117905,281,,824,123,2003,467
USP-S | Jawbreaker (Minimal Wear),511871153591440095,48894112475,9.47,8.24,0.13696505129337,349,,824,123,2003,467
USP-S | Jawbreaker (Minimal Wear),490478514651116519,52533560334,9.48,8.25,0.12365152686834,317,,825,123,2003,467
USP-S | Jawbreaker (Minimal Wear),505115754153464941,52662296754,9.48,8.25,0.12834370136261,97,,825,123,2003,467
USP-S | Jawbreaker (Minimal Wear),520878352844387883,52675848601,9.48,8.25,0.11401262134314,493,,825,123,2003,467
USP-S | Jawbreaker (Minimal Wear),552401560639256829,52368451058,9.54,8.3,0.139339402318,970,,830,124,2003,467
USP-S | Jawbreaker (Minimal Wear),532135362401312026,50412639951,9.54,8.3,0.14966282248497,931,,830,124,2003,467
USP-S | Jawbreaker (Minimal Wear),523128163186046130,47066484080,9.54,8.3,0.13087040185928,762,,830,124,2003,467
