market_hash_name,listing_id,asset_id,ask,ask_seller_net,float_value,paint_seed,asset_properties_json,converted_price,converted_fee,converted_currencyid,scm_total_listings
Galil AR | Rainbow Spoon (Minimal Wear),631205040528842933,50031065168,87.02,75.68,0.11863163858652,952,,7568.0,1134,2003.0,111
Galil AR | Rainbow Spoon (Minimal Wear),660477807588350563,49740885842,87.13,75.78,0.07064949721098,936,,7578.0,1135,2003.0,111
Galil AR | Rainbow Spoon (Minimal Wear),622201646457177684,49871665620,88.45,76.92,0.07976191490889,430,,7692.0,1153,2003.0,111
Galil AR | Rainbow Spoon (Minimal Wear),644719809058368255,50972944654,88.45,76.92,0.13298544287682,303,,7692.0,1153,2003.0,111
Galil AR | Rainbow Spoon (Minimal Wear),633459376575778599,50749521722,89.74,78.04,0.08312634378672,563,,7804.0,1170,2003.0,111
Galil AR | Rainbow Spoon (Minimal Wear),661603707477195882,49548197388,90.42,78.63,0.14224110543728,551,,7863.0,1179,2003.0,111
Galil AR | Rainbow Spoon (Minimal Wear),645841108800279487,50197251286,92.0,80.0,0.08198727667332,869,,8000.0,1200,2003.0,111
Galil AR | Rainbow Spoon (Minimal Wear),644703880445025752,47287971812,92.95,80.83,0.13557928800583,850,,8083.0,1212,2003.0,111
Galil AR | Rainbow Spoon (Minimal Wear),641341944856012279,50883226178,94.01,81.76,0.11451099067926,338,,8176.0,1225,2003.0,111
Galil AR | Rainbow Spoon (Minimal Wear),631205040528844481,50022890154,97.19,84.52,0.07773997634649,609,,8452.0,1267,2003.0,111
Galil AR | Rainbow Spoon (Minimal Wear),635709273967347163,50393841134,98.28,85.47,0.13176257908344,588,,8547.0,1281,2003.0,111
Galil AR | Rainbow Spoon (Minimal Wear),631208917655075450,46916000772,100.0,86.97,0.11401164531708,499,,8697.0,1303,2003.0,111
Galil AR | Rainbow Spoon (Minimal Wear),639090217007111157,50528483917,102.58,89.2,0.11282723397017,965,,8920.0,1338,2003.0,111
Galil AR | Rainbow Spoon (Minimal Wear),596305411420164661,50014435097,105.63,91.86,0.09759628027678,23,,9186.0,1377,2003.0,111
Galil AR | Rainbow Spoon (Minimal Wear),803465827327626573,49616065068,110.26,95.89,0.10395107418299,491,,9589.0,1437,2003.0,111
Galil AR | Rainbow Spoon (Minimal Wear),655975472283900040,48888623230,111.11,96.62,0.09831550717354,599,,9662.0,1449,2003.0,111
Galil AR | Rainbow Spoon (Minimal Wear),794457993922849556,49379657596,111.11,96.62,0.13354779779911,880,,9662.0,1449,2003.0,111
Galil AR | Rainbow Spoon (Minimal Wear),643592475738076067,50746656962,111.45,96.92,0.1115243062377,997,,9692.0,1453,2003.0,111
Galil AR | Rainbow Spoon (Minimal Wear),559150711017096432,50609127214,111.92,97.33,0.07580935955048,571,,9733.0,1459,2003.0,111
Galil AR | Rainbow Spoon (Minimal Wear),637961073750601810,47066870958,113.0,98.27,0.14467661082745,277,,9827.0,1473,2003.0,111
Galil AR | Rainbow Spoon (Minimal Wear),652598587789738020,48669087802,115.0,100.0,0.120815128088,766,,10000.0,1500,2003.0,111
Galil AR | Rainbow Spoon (Minimal Wear),660478438115249039,50130590940,115.0,100.0,0.12220721691847,572,,10000.0,1500,2003.0,111
Galil AR | Rainbow Spoon (Minimal Wear),627831217914549812,51124238908,116.01,100.89,0.14153203368187,355,,10089.0,1512,2003.0,111
Galil AR | Rainbow Spoon (Minimal Wear),640212239773875349,49992237655,116.45,101.27,0.10353514552116,656,,10127.0,1518,2003.0,111
Galil AR | Rainbow Spoon (Minimal Wear),628953874527631739,50415131198,117.82,102.46,0.07923384010792,599,,10246.0,1536,2003.0,111
Galil AR | Rainbow Spoon (Minimal Wear),786577328717994695,49188624677,124.36,108.15,0.11661008745432,83,,10815.0,1621,2003.0,111
Galil AR | Rainbow Spoon (Minimal Wear),650349144125649045,50978557571,124.8,108.53,0.0711060538888,255,,10853.0,1627,2003.0,111
Galil AR | Rainbow Spoon (Minimal Wear),785452137991919683,49930125351,125.0,108.7,0.1407316327095,526,,10870.0,1630,2003.0,111
Galil AR | Rainbow Spoon (Minimal Wear),652601015925258960,49588218079,126.76,110.23,0.13220688700676,905,,11023.0,1653,2003.0,111
Galil AR | Rainbow Spoon (Minimal Wear),658230443474508842,48900243193,127.36,110.76,0.12812705338001,67,,11076.0,1660,2003.0,111
Galil AR | Rainbow Spoon (Minimal Wear),758427294162892502,48959802150,128.2,111.49,0.12753148376942,542,,11149.0,1671,2003.0,111
Galil AR | Rainbow Spoon (Minimal Wear),635708009646054483,50036570782,129.97,113.02,0.13616885244846,458,,11302.0,1695,2003.0,111
Galil AR | Rainbow Spoon (Minimal Wear),650344708422551453,49865101822,135.61,117.93,0.07030685245991,80,,11793.0,1768,2003.0,111
Galil AR | Rainbow Spoon (Minimal Wear),642463409057896601,48798717996,135.62,117.94,0.08142875880003,833,,11794.0,1768,2003.0,111
Galil AR | Rainbow Spoon (Minimal Wear),740412895678889705,48474475403,135.62,117.94,0.10612389445305,489,,11794.0,1768,2003.0,111
Galil AR | Rainbow Spoon (Minimal Wear),632330309919443039,49991770738,143.75,125.0,0.07048200070858,469,,12500.0,1875,2003.0,111
Galil AR | Rainbow Spoon (Minimal Wear),626705246080794263,49992747250,144.9,126.0,0.07767350971699,649,,12600.0,1890,2003.0,111
Galil AR | Rainbow Spoon (Minimal Wear),650348605667554810,49338835384,150.0,130.44,0.09782828390598,172,,13044.0,1956,2003.0,111
Galil AR | Rainbow Spoon (Minimal Wear),650349144125320689,49000343901,153.84,133.79,0.11268615722656,501,,13379.0,2005,2003.0,111
Galil AR | Rainbow Spoon (Minimal Wear),698762301662897628,50749417509,155.96,135.62,0.13759276270866,388,,13562.0,2034,2003.0,111
Galil AR | Rainbow Spoon (Minimal Wear),660479071911523143,50544392682,168.96,146.93,0.13534390926361,355,,14693.0,2203,2003.0,111
Galil AR | Rainbow Spoon (Minimal Wear),801214736729642080,49926475967,169.53,147.42,0.12815906107426,788,,14742.0,2211,2003.0,111
Galil AR | Rainbow Spoon (Minimal Wear),775319038692275905,49758877538,178.91,155.59,0.11581356823444,479,,15559.0,2332,2003.0,111
Galil AR | Rainbow Spoon (Minimal Wear),775319038692275869,49758879189,178.91,155.59,0.11848018318415,734,,15559.0,2332,2003.0,111
Galil AR | Rainbow Spoon (Minimal Wear),775319038695224989,49758877055,196.23,170.64,0.11677800863981,830,,17064.0,2559,2003.0,111
Galil AR | Rainbow Spoon (Minimal Wear),636833909542332432,49474978815,287.5,250.0,0.10420501232147,953,,25000.0,3750,2003.0,111
Galil AR | Rainbow Spoon (Minimal Wear),633460645525859797,50471654727,305.87,265.99,0.09435397386551,709,,26599.0,3988,2003.0,111
